# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2000.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Ice Time_TOI,Ice Time_ATOI,Awards,url
1.0,Andrew Brunette,26.0,LW,81,23,27,50,-32,30,14,9,0,2,15.0,12.0,0.0,107,21.5,1272:06,15:42,,brunean01
2.0,Ray Ferraro,35.0,C,81,19,25,44,-33,88,9,10,0,3,17.0,8.0,0.0,170,11.2,1308:55,16:10,,ferrara01
3.0,Nelson Emerson,32.0,RW,58,14,19,33,-24,47,10,4,0,0,13.0,5.0,1.0,183,7.7,1111:45,19:10,,emersne01
4.0,Yannick Tremblay,24.0,D,75,10,21,31,-42,22,5,4,1,2,9.0,12.0,0.0,139,7.2,1459:06,19:27,,trembya01
5.0,Dean Sylvester,27.0,RW,52,16,10,26,-14,24,15,1,0,2,8.0,2.0,0.0,98,16.3,714:23,13:44,,sylvede01
6.0,Patrik Štefan,19.0,C,72,5,20,25,-20,30,4,1,0,0,18.0,2.0,0.0,117,4.3,1066:37,14:49,,stefapa01
7.0,Mike Stapleton,33.0,C,62,10,12,22,-29,30,6,4,0,1,7.0,5.0,0.0,146,6.8,1072:36,17:18,,staplmi01
8.0,Petr Buzek,22.0,D,63,5,14,19,-22,41,2,3,0,0,10.0,4.0,0.0,90,5.6,1159:27,18:24,ASG,buzekpe01
9.0,Darryl Shannon,31.0,D,49,5,13,18,-14,65,4,1,0,1,8.0,5.0,0.0,66,7.6,1046:16,21:21,,shannda01
10.0,Kelly Buchberger,33.0,LW,68,5,12,17,-34,139,5,0,0,0,11.0,1.0,0.0,56,8.9,1111:48,16:21,,buchbke01
11.0,Johan Garpenlöv,31.0,LW,73,2,14,16,-30,31,2,0,0,0,11.0,3.0,0.0,79,2.5,1088:04,14:54,,garpejo01
12.0,Hnat Domenichelli,23.0,C,27,6,9,15,-21,4,6,0,0,0,4.0,5.0,0.0,68,8.8,456:38,16:55,,domenhn01
13.0,Andreas Karlsson,24.0,C,51,5,9,14,-17,14,4,1,0,0,7.0,1.0,1.0,74,6.8,662:44,13:00,,karlsan01
14.0,Steve Guolla,26.0,C,20,4,9,13,-13,4,2,2,0,0,6.0,2.0,1.0,34,11.8,355:45,17:47,,guollst01
15.0,Gord Murphy,32.0,D,58,1,10,11,-26,38,1,0,0,0,6.0,3.0,1.0,74,1.4,1298:57,22:24,,murphgo01
16.0,Denny Lambert,30.0,LW,73,5,6,11,-17,219,3,2,0,0,5.0,1.0,0.0,83,6.0,837:59,11:29,,lambede01
17.0,Shean Donovan,25.0,RW,33,4,7,11,-13,18,3,1,0,1,5.0,2.0,0.0,53,7.5,472:43,14:19,,donovsh01
18.0,Donald Audette,30.0,RW,14,7,4,11,-4,12,6,0,1,1,2.0,2.0,0.0,50,14.0,302:13,21:35,,audetdo01
19.0,Chris Tamer,29.0,D,69,2,8,10,-32,91,2,0,0,0,6.0,1.0,1.0,61,3.3,1258:35,18:14,,tamerch01
20.0,Maxim Galanov,25.0,D,40,4,3,7,-12,20,4,0,0,0,1.0,2.0,0.0,47,8.5,861:02,21:32,,galanma01
21.0,Matt Johnson,24.0,LW,64,2,5,7,-11,144,2,0,0,0,5.0,0.0,0.0,54,3.7,538:45,8:25,,johnsma03
22.0,František Kaberle,26.0,D,14,1,6,7,-13,6,0,0,1,0,2.0,4.0,0.0,35,2.9,345:02,24:39,,kaberfr01
23.0,Per Svartvadet,24.0,LW,38,3,4,7,-8,6,3,0,0,0,4.0,0.0,0.0,36,8.3,495:05,13:02,,svartpe01
24.0,Ed Ward,30.0,RW,44,5,1,6,-5,44,3,0,2,0,1.0,0.0,0.0,51,9.8,503:08,11:26,,warded01
25.0,David Harlock,28.0,D,44,0,6,6,-8,36,0,0,0,0,6.0,0.0,0.0,29,0.0,865:57,19:41,,harloda01
26.0,Steve Staios,26.0,RW,27,2,3,5,-5,66,2,0,0,0,3.0,0.0,0.0,38,5.3,351:22,13:01,,staiost01
27.0,Jason Botterill,23.0,LW,25,1,4,5,-7,17,1,0,0,1,4.0,0.0,0.0,17,5.9,281:43,11:16,,botteja01
28.0,Sergei Vyshedkevich,25.0,D,7,1,3,4,-3,2,0,1,0,0,2.0,1.0,0.0,5,20.0,163:09,23:18,,vyshese01
29.0,Rumun Ndur,24.0,D,27,1,0,1,-17,71,1,0,0,0,0.0,0.0,0.0,6,16.7,356:29,13:12,,ndurru01
30.0,Martin Procházka,27.0,RW,3,0,1,1,-1,0,0,0,0,0,1.0,0.0,0.0,5,0.0,49:51,16:37,,prochma01
31.0,Herberts Vasiļjevs,23.0,C,7,1,0,1,-3,4,1,0,0,0,0.0,0.0,0.0,2,50.0,65:04,9:18,,vasilhe01
32.0,Kevin Dean,30.0,D,23,1,0,1,-5,14,0,0,1,0,0.0,0.0,0.0,9,11.1,388:30,16:53,,deanke01
33.0,Brett Clark,23.0,D,14,0,1,1,-12,4,0,0,0,0,1.0,0.0,0.0,13,0.0,235:53,16:51,,clarkbr01
34.0,Scott Fankhouser,24.0,G,16,0,0,0,0,4,0,0,0,0,,,,0,,919:51,57:29,,fankhsc01
35.0,Bryan Adams,22.0,LW,2,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,1,0.0,21:53,10:57,,adamsbr01
36.0,Vladimír Vůjtek,27.0,LW,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0.0,32:35,10:52,,vujtevl01
37.0,Éric Bertrand,24.0,LW,8,0,0,0,-5,4,0,0,0,0,0.0,0.0,0.0,11,0.0,79:27,9:56,,bertrer01
38.0,Rick Tabaracci,31.0,G,1,0,0,0,0,0,0,0,0,0,,,,0,,59:02,59:02,,tabarri01
39.0,Norm Maracle,25.0,G,32,0,0,0,0,0,0,0,0,0,,,,0,,1618:12,50:34,,maracno01
40.0,Geordie Kinnear,26.0,D,4,0,0,0,-1,13,0,0,0,0,0.0,0.0,0.0,2,0.0,73:49,18:27,,kinnege01
41.0,Damian Rhodes,30.0,G,28,0,0,0,0,2,0,0,0,0,,,,0,,1561:21,55:46,,rhodeda01
42.0,Scott Langkow,24.0,G,15,0,0,0,0,0,0,0,0,0,,,,0,,765:07,51:00,,langksc01
43.0,Chris McAlpine,28.0,D,3,0,0,0,-4,2,0,0,0,0,0.0,0.0,0.0,4,0.0,59:01,19:40,,mcalpch01
