# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2010.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Shots_TSA,Ice Time_TOI,Ice Time_ATOI,Faceoffs_FOW,Faceoffs_FOL,Faceoffs_FO%,BLK,HIT,TAKE,GIVE,Awards,url
1.0,Nik Antropov,29.0,C,76,24,43,67,13,44,16,8,0,4,30.0,13.0,0.0,126,19.0,205,1385:17,18:14,481,627,43.4,35,82,30,40,,antroni01
2.0,Maxim Afinogenov,30.0,RW,82,24,37,61,-17,46,18,6,0,3,25.0,12.0,0.0,181,13.3,321,1426:17,17:24,1,2,33.3,21,32,65,63,,afinoma01
3.0,Ilya Kovalchuk,26.0,LW,49,31,27,58,1,45,21,10,0,3,18.0,9.0,0.0,179,17.3,359,1089:34,22:14,5,18,21.7,16,13,21,49,"ASnhl-5,ASnhl-12",kovalil01
4.0,Rich Peverley,27.0,C,82,22,33,55,-14,36,13,7,2,7,21.0,9.0,3.0,166,13.3,265,1530:02,18:40,647,546,54.2,34,23,62,55,,peverri01
5.0,Toby Enström,25.0,D,82,6,44,50,-5,30,4,2,0,0,26.0,17.0,1.0,109,5.5,239,1826:04,22:16,0,0,,99,20,36,30,ASnhl-19,enstrto01
6.0,Pavel Kubina,32.0,D,76,6,32,38,0,66,4,2,0,1,23.0,8.0,1.0,159,3.8,292,1719:33,22:38,0,0,,111,94,55,37,,kubinpa01
7.0,Bryan Little,22.0,C,79,13,21,34,-6,20,10,3,0,1,18.0,3.0,0.0,165,7.9,273,1244:15,15:45,68,86,44.2,18,45,51,15,,littlbr01
8.0,Colby Armstrong,27.0,RW,79,15,14,29,6,61,14,0,1,1,10.0,2.0,2.0,101,14.9,175,1168:37,14:48,10,10,50.0,29,74,61,22,,armstco01
9.0,Todd White,34.0,C,65,7,19,26,-11,24,5,2,0,3,11.0,8.0,0.0,92,7.6,157,990:58,15:15,401,344,53.8,28,31,52,24,,whiteto02
10.0,Vyacheslav Kozlov,37.0,LW,55,8,18,26,-15,33,5,3,0,1,9.0,9.0,0.0,113,7.1,189,839:39,15:16,6,9,40.0,10,17,31,25,,kozlovy01
11.0,Evander Kane,18.0,C,66,14,12,26,2,62,13,0,1,3,12.0,0.0,0.0,127,11.0,215,923:33,14:00,14,12,53.8,24,97,28,23,Calder-9,kaneev01
12.0,Ron Hainsey,28.0,D,80,5,21,26,-6,39,5,0,0,0,14.0,5.0,2.0,121,4.1,238,1771:14,22:08,0,0,,148,42,47,50,,hainsro01
13.0,Zach Bogosian,19.0,D,81,10,13,23,-18,61,6,3,1,0,9.0,3.0,1.0,155,6.5,339,1734:12,21:25,0,0,,124,196,41,52,,bogosza01
14.0,Jim Slater,27.0,C,61,11,7,18,1,60,10,1,0,2,7.0,0.0,0.0,107,10.3,172,744:33,12:12,254,177,58.9,28,105,35,13,,slateji01
15.0,Niclas Bergfors,22.0,RW,27,8,9,17,-3,0,7,1,0,2,8.0,1.0,0.0,83,9.6,107,445:27,16:30,4,8,33.3,4,4,14,1,"AR-1,Byng-26,Calder-6",bergfni01
16.0,Marty Reasoner,32.0,C,80,4,13,17,-3,24,4,0,0,0,11.0,0.0,2.0,86,4.7,162,1000:27,12:30,512,494,50.9,49,33,51,12,,reasoma01
17.0,Chris Thorburn,26.0,C,76,4,9,13,6,89,1,0,3,0,9.0,0.0,0.0,63,6.3,98,758:41,9:59,16,13,55.2,37,103,32,8,,thorbch01
18.0,Clarke MacArthur,24.0,LW,21,3,6,9,-2,2,1,1,1,0,6.0,0.0,0.0,30,10.0,57,327:56,15:37,5,5,50.0,12,14,18,7,,macarcl01
19.0,Johnny Oduya,28.0,D,27,1,8,9,6,12,1,0,0,0,7.0,1.0,0.0,24,4.2,55,576:58,21:22,0,0,,58,29,16,16,,oduyajo01
20.0,Eric Boulton,33.0,LW,62,2,6,8,-1,113,1,1,0,0,6.0,0.0,0.0,39,5.1,60,424:40,6:51,2,2,50.0,10,96,11,9,,boulter01
21.0,Christoph Schubert,27.0,D,47,2,5,7,-6,69,2,0,0,0,5.0,0.0,0.0,73,2.7,139,741:28,15:47,0,0,,51,150,25,26,,schubch01
22.0,Evgeny Artyukhin,26.0,RW,17,5,2,7,-4,31,5,0,0,0,2.0,0.0,0.0,21,23.8,38,146:56,8:39,1,0,100.0,2,37,3,8,,artyuev01
23.0,Anssi Salmela,25.0,D,29,1,4,5,4,22,1,0,0,0,4.0,0.0,0.0,27,3.7,48,381:59,13:10,0,0,,23,39,7,10,,salmean01
24.0,Mark Popovic,27.0,D,37,2,2,4,0,10,2,0,0,0,2.0,0.0,0.0,24,8.3,68,547:20,14:48,0,0,,61,60,18,9,,popovma01
25.0,Artūrs Kulda,21.0,D,4,0,2,2,2,2,0,0,0,0,2.0,0.0,0.0,5,0.0,7,47:57,11:59,0,0,,8,9,0,0,,kuldaar01
26.0,Tim Stapleton,27.0,C,6,2,0,2,1,2,1,1,0,0,0.0,0.0,0.0,6,33.3,14,71:16,11:53,22,14,61.1,2,1,3,2,,staplti01
27.0,Boris Valábik,23.0,D,23,0,2,2,2,36,0,0,0,0,2.0,0.0,0.0,22,0.0,44,304:11,13:14,0,0,,20,15,5,4,,valabbo01
28.0,Ondřej Pavelec,22.0,G,42,0,1,1,0,0,0,0,0,0,,,,0,,0,2317:08,55:10,0,0,,0,0,0,18,,pavelon01
29.0,Johan Hedberg,36.0,G,47,0,1,1,0,6,0,0,0,0,,,,0,,0,2631:57,56:00,0,0,,0,0,0,43,Byng-45,hedbejo01
30.0,Chris Chelios,48.0,D,7,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,5,0.0,12,78:13,11:10,0,0,,7,8,2,5,,chelich01
