# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2006.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards,url
1.0,Michael Garnett,23.0,24,10,7,4,73,634,561,0.885,3.44,2,1271:27,117,-10.4,3.54,2.7,0,2,2,0,,garnemi01
2.0,Kari Lehtonen,22.0,38,20,15,0,106,1123,1017,0.906,2.94,2,2165:31,96,4.9,3.02,7.3,0,1,1,4,,lehtoka01
3.0,Mike Dunham,33.0,17,8,5,2,36,336,300,0.893,2.77,1,779:20,109,-2.8,2.85,1.7,0,0,0,0,,dunhami01
4.0,Adam Berkhoel,24.0,9,2,4,1,30,255,225,0.882,3.8,0,473:24,119,-4.8,3.93,1.0,0,0,0,0,,berkhad01
5.0,Steve Shields,33.0,5,1,2,1,19,129,110,0.853,4.28,0,266:09,149,-6.3,4.28,0.1,0,0,0,0,,shielst01
