# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2002.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards,url
1.0,Milan Hnilička,28.0,60,13,33,10,179,1956,1777,0.908,3.19,3,3367:26,99,1.4,3.83,12.2,0,2,2,8,,hnilimi01
2.0,Damian Rhodes,32.0,15,2,10,1,47,439,392,0.893,3.67,0,768:58,116,-6.5,4.37,2.0,0,0,0,0,,rhodeda01
3.0,Pasi Nurminen,26.0,9,2,5,0,28,275,247,0.898,3.61,0,464:54,110,-2.6,4.26,1.4,0,0,0,0,,nurmipa01
4.0,Frédéric Cassivi,26.0,6,2,3,0,17,207,190,0.918,3.32,0,306:48,89,2.1,3.91,1.5,0,0,0,0,,cassifr01
5.0,Norm Maracle,27.0,1,0,1,0,3,20,17,0.85,3.0,0,59:58,163,-1.2,4.0,0.0,0,0,0,0,,maracno01
