# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2001.html
Rk,Player,Age,Goalie Stats_GP,Goalie Stats_W,Goalie Stats_L,Goalie Stats_T/O,Goalie Stats_GA,Goalie Stats_Shots,Goalie Stats_SV,Goalie Stats_SV%,Goalie Stats_GAA,Goalie Stats_SO,Goalie Stats_MIN,Goalie Stats_GA%-,Goalie Stats_GSAA,Goalie Stats_GAA/A,Goalie Stats_GPS,Scoring_G,Scoring_A,Scoring_PTS,PIM,Awards,url
1.0,Damian Rhodes,31.0,38,7,19,7,116,1129,1013,0.897,3.36,0,2071:58,106,-6.8,3.82,6.2,0,0,0,16,,rhodeda01
2.0,Milan Hnilička,27.0,36,12,19,2,105,951,846,0.89,3.35,2,1879:02,114,-13.0,3.8,4.4,0,0,0,4,,hnilimi01
3.0,Norm Maracle,26.0,13,2,8,3,43,406,363,0.894,3.43,0,752:40,109,-3.7,3.91,2.1,0,0,0,0,,maracno01
4.0,Scott Fankhouser,25.0,7,2,1,0,16,160,144,0.9,3.7,0,259:35,103,-0.5,4.16,0.9,0,0,0,2,,fankhsc01
