# Data downloaded from: https://www.hockey-reference.com/teams/ATL/2003.html
Rk,Player,Age,Pos,GP,Scoring_G,Scoring_A,Scoring_PTS,+/-,PIM,Goals_EVG,Goals_PPG,Goals_SHG,Goals_GWG,Assists_EV,Assists_PP,Assists_SH,Shots_SOG,Shots_SPCT,Ice Time_TOI,Ice Time_ATOI,Awards,url
1.0,Dany Heatley,22.0,RW,77,41,48,89,-8,58,21,19,1,6,28.0,20.0,0.0,252,16.3,1690:09,21:57,"ASG,ASnhl-4,ASnhl-9,Byng-22,Hart-17",heatlda01
2.0,Vyacheslav Kozlov,30.0,RW,79,21,49,70,-10,66,11,9,1,2,28.0,20.0,1.0,185,11.4,1580:55,20:01,,kozlovy01
3.0,Ilya Kovalchuk,19.0,LW,81,38,29,67,-24,57,29,9,0,3,16.0,13.0,0.0,257,14.8,1575:00,19:27,ASnhl-9,kovalil01
4.0,Marc Savard,25.0,C,57,16,31,47,-11,77,10,6,0,4,17.0,13.0,1.0,127,12.6,1130:19,19:50,,savarma01
5.0,Patrik Štefan,22.0,C,71,13,21,34,-10,12,10,3,0,2,15.0,4.0,2.0,96,13.5,1194:45,16:50,Byng-44,stefapa01
6.0,Yannick Tremblay,27.0,D,75,8,22,30,-27,32,3,5,0,1,6.0,16.0,0.0,151,5.3,1631:07,21:45,,trembya01
7.0,Shawn McEachern,33.0,LW,46,10,16,26,-27,28,5,4,1,1,9.0,7.0,0.0,120,8.3,887:37,19:18,,mceacsh01
8.0,František Kaberle,29.0,D,79,7,19,26,-19,32,3,3,1,2,12.0,7.0,0.0,105,6.7,1733:44,21:57,,kaberfr01
9.0,Tony Hrkac,36.0,C,80,9,17,26,-16,14,7,2,0,2,12.0,5.0,0.0,86,10.5,1287:36,16:06,,hrkacto01
10.0,Andy Sutton,27.0,D,53,3,18,21,-8,114,1,1,1,0,11.0,7.0,0.0,65,4.6,954:13,18:00,,suttoan01
11.0,Ľuboš Bartečko,26.0,LW,37,7,9,16,3,8,7,0,0,1,7.0,2.0,0.0,54,13.0,462:49,12:31,,bartelu01
12.0,Daniel Tjärnqvist,26.0,D,75,3,12,15,-20,26,2,1,0,0,10.0,2.0,0.0,65,4.6,1641:48,21:53,,tjarnda01
13.0,Brad Tapper,24.0,RW,35,10,4,14,2,23,9,1,0,3,4.0,0.0,0.0,68,14.7,456:53,13:03,,tappebr01
14.0,Dan Snyder,24.0,C,36,10,4,14,-4,34,9,0,1,1,3.0,1.0,0.0,41,24.4,392:20,10:54,,snydeda01
15.0,Pascal Rhéaume,29.0,C,56,4,9,13,-8,24,2,0,2,1,7.0,1.0,1.0,70,5.7,687:31,12:17,,rheaupa01
16.0,Richard Šmehlík,33.0,D,43,2,9,11,-4,16,2,0,0,0,8.0,1.0,0.0,38,5.3,831:41,19:20,,smehlri01
17.0,Chris Tamer,32.0,D,72,1,9,10,-10,118,1,0,0,0,9.0,0.0,0.0,53,1.9,1129:00,15:41,,tamerch01
18.0,Per Svartvadet,27.0,C,62,1,7,8,-11,8,1,0,0,0,5.0,0.0,2.0,47,2.1,729:39,11:46,,svartpe01
19.0,Jeff Cowan,26.0,LW,66,3,5,8,-15,115,3,0,0,0,5.0,0.0,0.0,52,5.8,553:54,8:24,,cowanje01
20.0,Mark Hartigan,25.0,C,23,5,2,7,-8,6,4,1,0,0,2.0,0.0,0.0,25,20.0,249:45,10:52,,hartima01
21.0,Jeff Odgers,33.0,RW,74,2,4,6,-13,171,2,0,0,1,4.0,0.0,0.0,48,4.2,576:44,7:48,,odgerje01
22.0,Kamil Piroš,24.0,C,3,3,2,5,4,2,3,0,0,1,1.0,1.0,0.0,8,37.5,51:16,17:05,,piroska01
23.0,Mike Weaver,24.0,D,40,0,5,5,-5,20,0,0,0,0,5.0,0.0,0.0,21,0.0,745:13,18:38,,weavemi01
24.0,Chris Herperger,28.0,C,27,4,1,5,-11,7,4,0,0,0,1.0,0.0,0.0,26,15.4,337:37,12:30,,herpech01
25.0,Kirill Safronov,21.0,D,32,2,2,4,-10,14,2,0,0,0,1.0,1.0,0.0,21,9.5,481:15,15:02,,safroki01
26.0,Pasi Nurminen,27.0,G,52,0,3,3,0,4,0,0,0,0,,,,0,,2856:09,54:56,,nurmipa01
27.0,Francis Lessard,23.0,RW,18,0,2,2,1,61,0,0,0,0,2.0,0.0,0.0,7,0.0,101:53,5:40,,lessafr01
28.0,Tomi Kallio,26.0,RW,5,0,2,2,-2,4,0,0,0,0,2.0,0.0,0.0,3,0.0,63:53,12:47,,kallito01
29.0,Garnet Exelby,21.0,D,15,0,2,2,0,41,0,0,0,0,2.0,0.0,0.0,9,0.0,270:57,18:04,,exelbga01
30.0,Joe DiPenta,23.0,D,3,1,1,2,3,0,1,0,0,0,1.0,0.0,0.0,2,50.0,47:22,15:47,,dipenjo01
31.0,Yuri Butsayev,24.0,LW,16,2,0,2,-5,8,2,0,0,0,0.0,0.0,0.0,21,9.5,193:17,12:05,,butsayu01
32.0,Ben Simon,24.0,LW,10,0,1,1,0,9,0,0,0,0,1.0,0.0,0.0,7,0.0,94:06,9:25,,simonbe01
33.0,J.P. Vigier,26.0,RW,13,0,0,0,-13,4,0,0,0,0,0.0,0.0,0.0,21,0.0,183:35,14:07,,vigiejp01
34.0,Uwe Krupp,37.0,D,4,0,0,0,-2,10,0,0,0,0,0.0,0.0,0.0,1,0.0,61:15,15:19,,kruppuw01
35.0,Milan Hnilička,29.0,G,21,0,0,0,0,2,0,0,0,0,,,,0,,1096:42,52:13,,hnilimi01
36.0,Simon Gamache,22.0,C,2,0,0,0,-1,2,0,0,0,0,0.0,0.0,0.0,3,0.0,25:14,12:37,,gamacsi01
37.0,Kurtis Foster,21.0,D,2,0,0,0,-2,0,0,0,0,0,0.0,0.0,0.0,1,0.0,22:11,11:06,,fosteku01
38.0,Jeff Farkas,25.0,C,3,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,5,0.0,40:36,13:32,,farkaje01
39.0,Byron Dafoe,31.0,G,17,0,0,0,0,0,0,0,0,0,,,,0,,895:02,52:39,,dafoeby01
40.0,Frédéric Cassivi,27.0,G,2,0,0,0,0,0,0,0,0,0,,,,0,,123:02,61:31,,cassifr01
41.0,Zdeněk Blatný,22.0,LW,4,0,0,0,-1,0,0,0,0,0,0.0,0.0,0.0,2,0.0,42:05,10:31,,blatnzd01
