Player,Flag,url
Jeff Cowan,🇨🇦,cowanje01
Andy Sutton,🇨🇦,suttoan01
Yuri Butsayev,🇸🇺,butsayu01
Mike Weaver,🇨🇦,weavemi01
Kamil Piroš,🇨🇸,piroska01
Kirill Safronov,🇸🇺,safroki01
Luke Sellars,🇨🇦,sellalu01
Ben Simon,🇺🇸,simonbe01
Pasi Nurminen,🇫🇮,nurmipa01
Derek MacKenzie,🇨🇦,mackede01
Francis Lessard,🇨🇦,lessafr01
Mark Hartigan,🇨🇦,hartima01
Frédéric Cassivi,🇨🇦,cassifr01
Vyacheslav Kozlov,🇸🇺,kozlovy01
Marc Savard,🇨🇦,savarma01
Shawn McEachern,🇺🇸,mceacsh01
Richard Šmehlík,🇨🇸,smehlri01
Chris Herperger,🇨🇦,herpech01
Garnet Exelby,🇨🇦,exelbga01
Joe DiPenta,🇨🇦,dipenjo01
Uwe Krupp,🇩🇪,kruppuw01
Simon Gamache,🇨🇦,gamacsi01
Kurtis Foster,🇨🇦,fosteku01
Jeff Farkas,🇺🇸,farkaje01
Byron Dafoe,🇬🇧,dafoeby01
Zdeněk Blatný,🇨🇸,blatnzd01
Randy Robitaille,🇨🇦,robitra01
Ronald Petrovický,🇨🇸,petroro02
Serge Aubin,🇨🇦,aubinse01
Ivan Majeský,🇨🇸,majesiv01
Jean-Luc Grand-Pierre,🇨🇦,grandje01
Shawn Heins,🇨🇦,heinssh01
Tommi Santala,🇫🇮,santato01
Karl Stewart,🇨🇦,stewaka01
Brian Swanson,🇺🇸,swansbr01
Kyle Rossiter,🇨🇦,rossiky01
Daniel Corso,🇨🇦,corsoda01
Bill Lindsay,🇺🇸,lindsbi01
Kari Lehtonen,🇫🇮,lehtoka01
Brad Larsen,🇨🇦,larsebr01
Tomáš Klouček,🇨🇸,kloucto01
Kip Brennan,🇨🇦,brennki01
Marián Hossa,🇨🇸,hossama01
Peter Bondra,🇸🇺,bondrpe01
Jaroslav Modrý,🇨🇸,modryja01
Greg de Vries,🇨🇦,devrigr01
Scott Mellanby,🇨🇦,mellasc01
Bobby Holík,🇨🇸,holikbo01
Niclas Hävelid,🇸🇪,havelni01
Jim Slater,🇺🇸,slateji01
Steve McCarthy,🇨🇦,mccarst01
Eric Boulton,🇨🇦,boulter01
Shane Hnidy,🇨🇦,hnidysh01
Michael Garnett,🇨🇦,garnemi01
Ramzi Abid,🇨🇦,abidra01
Braydon Coburn,🇨🇦,coburbr01
Rico Fata,🇨🇦,fatari01
Scott Barney,🇨🇦,barnesc01
Steve Shields,🇨🇦,shielst01
Adam Berkhoel,🇺🇸,berkhad01
Mark Popovic,🇨🇦,popovma01
Mike Dunham,🇺🇸,dunhami01
Chris Kunitz,🇨🇦,kunitch01
Jon Sim,🇨🇦,simjo01
Glen Metropolit,🇨🇦,metrogl01
Steve Rucchin,🇨🇦,rucchst01
Keith Tkachuk,🇺🇸,tkachke01
Éric Bélanger,🇨🇦,belaner01
Alexei Zhitnik,🇸🇺,zhitnal01
Niko Kapanen,🇫🇮,kapanni01
Vitaly Vishnevski,🇸🇺,vishnvi01
Pascal Dupuis,🇨🇦,dupuipa01
Jason Krog,🇨🇦,krogja01
Johan Hedberg,🇸🇪,hedbejo01
Denis Hamel,🇨🇦,hamelde01
Darren Haydar,🇨🇦,haydada01
Éric Perrin,🇨🇦,perrier01
Mark Recchi,🇨🇦,recchma01
Toby Enström,🇸🇪,enstrto01
Todd White,🇨🇦,whiteto02
Chris Thorburn,🇨🇦,thorbch01
Bryan Little,🇨🇦,littlbr01
Colby Armstrong,🇨🇦,armstco01
Ken Klee,🇺🇸,kleeke01
Joel Kwiatkowski,🇨🇦,kwiatjo01
Colin Stuart,🇺🇸,stuarco01
Erik Christensen,🇨🇦,chriser01
Brett Sterling,🇺🇸,sterlbr01
Jordan Smotherman,🇺🇸,lavaljo01
Kevin Doell,🇨🇦,doellke01
Ondřej Pavelec,🇨🇸,pavelon01
Boris Valábik,🇨🇸,valabbo01
Ron Hainsey,🇺🇸,hainsro01
Rich Peverley,🇨🇦,peverri01
Marty Reasoner,🇺🇸,reasoma01
Zach Bogosian,🇺🇸,bogosza01
Jason Williams,🇨🇦,willija01
Mathieu Schneider,🇺🇸,schnema01
Nathan Oystrick,🇨🇦,oystrna01
Joey Crabb,🇺🇸,crabbjo01
Anssi Salmela,🇫🇮,salmean01
Joe Motzko,🇺🇸,motzkjo01
Clay Wilson,🇺🇸,wilsocl01
Spencer Machacek,🇨🇦,machasp01
Grant Lewis,🇺🇸,lewisgr01
Scott Lehman,🇨🇦,lehmasc01
Nik Antropov,🇸🇺,antroni01
Maxim Afinogenov,🇸🇺,afinoma01
Pavel Kubina,🇨🇸,kubinpa01
Evander Kane,🇨🇦,kaneev01
Niclas Bergfors,🇸🇪,bergfni01
Clarke MacArthur,🇨🇦,macarcl01
Johnny Oduya,🇸🇪,oduyajo01
Christoph Schubert,🇩🇪,schubch01
Evgeny Artyukhin,🇸🇺,artyuev01
Artūrs Kulda,🇸🇺,kuldaar01
Tim Stapleton,🇺🇸,staplti01
Chris Chelios,🇺🇸,chelich01
Andrew Ladd,🇨🇦,laddan01
Dustin Byfuglien,🇺🇸,byfugdu01
Anthony Stewart,🇨🇦,stewaan01
Alexander Burmistrov,🇸🇺,burmial01
Blake Wheeler,🇺🇸,wheelbl01
Ben Eager,🇨🇦,eagerbe01
Fredrik Modin,🇸🇪,modinfr01
Brent Sopel,🇨🇦,sopelbr01
Rob Schremp,🇺🇸,schrero01
Patrice Cormier,🇨🇦,cormipa01
Ben Maxwell,🇨🇦,maxwebe01
Freddy Meyer,🇺🇸,meyerfr01
Andrei Zubarev,🇸🇺,zubaran01
Mark Stuart,🇺🇸,stuarma01
Radek Dvořák,🇨🇸,dvorara01
Nigel Dawes,🇨🇦,dawesni01
Patrick Rissmiller,🇺🇸,rissmpa01
Paul Postma,🇨🇦,postmpa01
Chris Mason,🇨🇦,masonch02
Peter Mannino,🇺🇸,mannipe01
Carl Klingberg,🇸🇪,klingca01
Noah Welch,🇺🇸,welchno01
